"Label (Grouping)","Androscoggin County, Maine!!Estimate","Androscoggin County, Maine!!Margin of Error","Aroostook County, Maine!!Estimate","Aroostook County, Maine!!Margin of Error","Cumberland County, Maine!!Estimate","Cumberland County, Maine!!Margin of Error","Franklin County, Maine!!Estimate","Franklin County, Maine!!Margin of Error","Hancock County, Maine!!Estimate","Hancock County, Maine!!Margin of Error","Kennebec County, Maine!!Estimate","Kennebec County, Maine!!Margin of Error","Knox County, Maine!!Estimate","Knox County, Maine!!Margin of Error","Lincoln County, Maine!!Estimate","Lincoln County, Maine!!Margin of Error","Oxford County, Maine!!Estimate","Oxford County, Maine!!Margin of Error","Penobscot County, Maine!!Estimate","Penobscot County, Maine!!Margin of Error","Piscataquis County, Maine!!Estimate","Piscataquis County, Maine!!Margin of Error","Sagadahoc County, Maine!!Estimate","Sagadahoc County, Maine!!Margin of Error","Somerset County, Maine!!Estimate","Somerset County, Maine!!Margin of Error","Waldo County, Maine!!Estimate","Waldo County, Maine!!Margin of Error","Washington County, Maine!!Estimate","Washington County, Maine!!Margin of Error","York County, Maine!!Estimate","York County, Maine!!Margin of Error"
"            Speak English less than ""very well""","0","±26","0","±26","0","±26","0","±20","0","±26","0","±26","0","±23","0","±23","0","±26","0","±26","0","±17","0","±23","0","±26","0","±23","0","±23","10","±21"
"        Speak other languages:","17","±20","0","±26","565","±217","0","±20","0","±26","0","±26","0","±23","0","±23","0","±26","0","±26","1","±2","0","±23","0","±26","0","±23","1","±3","75","±62"
"            Speak English ""very well""","0","±26","0","±26","407","±185","0","±20","0","±26","0","±26","0","±23","0","±23","0","±26","0","±26","1","±2","0","±23","0","±26","0","±23","1","±3","74","±63"
"            Speak English less than ""very well""","17","±20","0","±26","158","±90","0","±20","0","±26","0","±26","0","±23","0","±23","0","±26","0","±26","0","±17","0","±23","0","±26","0","±23","0","±23","1","±3"
"    Walked:","1,794","±321","1,120","±217","8,426","±786","757","±182","1,171","±260","2,207","±406","776","±196","433","±133","537","±147","2,511","±317","267","±115","590","±235","396","±112","607","±133","511","±118","2,130","±404"
"        Speak only English","1,591","±295","940","±193","7,591","±770","727","±165","1,114","±251","1,933","±383","768","±194","384","±129","519","±144","2,452","±319","253","±115","586","±234","366","±111","584","±130","452","±111","1,957","±379"
"        Speak Spanish:","32","±31","11","±23","155","±86","16","±24","2","±4","154","±99","4","±6","15","±15","15","±21","13","±21","0","±17","0","±23","0","±26","0","±23","28","±39","15","±18"
"            Speak English ""very well""","32","±31","11","±23","155","±86","16","±24","1","±2","154","±99","4","±6","4","±10","15","±21","13","±21","0","±17","0","±23","0","±26","0","±23","1","±4","15","±18"
"            Speak English less than ""very well""","0","±26","0","±26","0","±26","0","±20","1","±2","0","±26","0","±23","11","±15","0","±26","0","±26","0","±17","0","±23","0","±26","0","±23","27","±39","0","±26"
"        Speak other languages:","171","±84","169","±117","680","±186","14","±24","55","±53","120","±72","4","±4","34","±25","3","±6","46","±36","14","±15","4","±8","30","±31","23","±20","31","±15","158","±90"
"            Speak English ""very well""","108","±53","122","±99","446","±133","14","±24","9","±12","46","±42","4","±4","34","±25","3","±6","28","±28","14","±15","4","±8","19","±25","19","±19","31","±15","158","±90"
"            Speak English less than ""very well""","63","±66","47","±40","234","±149","0","±20","46","±51","74","±53","0","±23","0","±23","0","±26","18","±28","0","±17","0","±23","11","±18","4","±6","0","±23","0","±26"
"    Taxicab, motorcycle, bicycle, or other means:","462","±156","463","±129","2,775","±461","245","±147","292","±92","418","±155","361","±157","180","±75","290","±116","1,093","±254","86","±37","259","±128","228","±80","253","±100","125","±49","1,021","±242"
"        Speak only English","456","±155","431","±127","2,366","±390","245","±147","273","±89","418","±155","304","±137","169","±76","290","±116","1,006","±238","86","±37","190","±88","228","±80","179","±62","125","±49","966","±227"
"        Speak Spanish:","0","±26","0","±26","53","±42","0","±20","0","±26","0","±26","47","±58","8","±8","0","±26","8","±13","0","±17","69","±91","0","±26","48","±57","0","±23","0","±26"
"            Speak English ""very well""","0","±26","0","±26","24","±23","0","±20","0","±26","0","±26","47","±58","0","±23","0","±26","0","±26","0","±17","69","±91","0","±26","48","±57","0","±23","0","±26"
"            Speak English less than ""very well""","0","±26","0","±26","29","±36","0","±20","0","±26","0","±26","0","±23","8","±8","0","±26","8","±13","0","±17","0","±23","0","±26","0","±23","0","±23","0","±26"
"        Speak other languages:","6","±10","32","±19","356","±239","0","±20","19","±24","0","±26","10","±15","3","±4","0","±26","79","±66","0","±17","0","±23","0","±26","26","±26","0","±23","55","±49"
"            Speak English ""very well""","6","±10","30","±19","124","±82","0","±20","19","±24","0","±26","10","±15","0","±23","0","±26","76","±66","0","±17","0","±23","0","±26","26","±26","0","±23","42","±46"
"            Speak English less than ""very well""","0","±26","2","±3","232","±172","0","±20","0","±26","0","±26","0","±23","3","±4","0","±26","3","±5","0","±17","0","±23","0","±26","0","±23","0","±23","13","±20"
"    Worked from home:","3,764","±704","1,113","±181","16,773","±1,435","1,094","±282","2,495","±320","4,162","±559","1,840","±372","1,302","±221","1,663","±273","4,543","±730","386","±112","1,371","±270","1,700","±410","1,879","±334","869","±129","8,732","±871"
"        Speak only English","3,504","±653","914","±162","15,783","±1,412","1,060","±280","2,471","±320","3,984","±564","1,631","±326","1,269","±222","1,611","±267","4,398","±719","359","±108","1,336","±269","1,681","±407","1,621","±275","799","±124","8,064","±805"
"        Speak Spanish:","65","±63","7","±10","276","±148","18","±26","10","±11","12","±19","7","±16","0","±23","39","±39","70","±50","10","±14","8","±13","16","±19","19","±20","36","±42","38","±26"
"            Speak English ""very well""","26","±30","7","±10","276","±148","18","±26","2","±5","12","±19","7","±16","0","±23","39","±39","39","±48","10","±14","8","±13","16","±19","19","±20","35","±42","38","±26"
"            Speak English less than ""very well""","39","±53","0","±26","0","±26","0","±20","8","±9","0","±26","0","±23","0","±23","0","±26","31","±45","0","±17","0","±23","0","±26","0","±23","1","±3","0","±26"
"        Speak other languages:","195","±117","192","±63","714","±270","16","±19","14","±10","166","±102","202","±175","33","±22","13","±16","75","±53","17","±18","27","±31","3","±4","239","±209","34","±22","630","±361"
"            Speak English ""very well""","175","±113","159","±63","551","±210","12","±16","14","±10","153","±100","202","±175","33","±22","10","±16","47","±44","17","±18","27","±31","3","±4","238","±209","24","±18","364","±185"
"            Speak English less than ""very well""","20","±27","33","±33","163","±190","4","±6","0","±26","13","±21","0","±23","0","±23","3","±4","28","±31","0","±17","0","±23","0","±26","1","±2","10","±14","266","±319"
