"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Percent!!Estimate","Androscoggin County, Maine!!Percent!!Margin of Error","Androscoggin County, Maine!!Male!!Estimate","Androscoggin County, Maine!!Male!!Margin of Error","Androscoggin County, Maine!!Percent Male!!Estimate","Androscoggin County, Maine!!Percent Male!!Margin of Error","Androscoggin County, Maine!!Female!!Estimate","Androscoggin County, Maine!!Female!!Margin of Error","Androscoggin County, Maine!!Percent Female!!Estimate","Androscoggin County, Maine!!Percent Female!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Percent!!Estimate","Aroostook County, Maine!!Percent!!Margin of Error","Aroostook County, Maine!!Male!!Estimate","Aroostook County, Maine!!Male!!Margin of Error","Aroostook County, Maine!!Percent Male!!Estimate","Aroostook County, Maine!!Percent Male!!Margin of Error","Aroostook County, Maine!!Female!!Estimate","Aroostook County, Maine!!Female!!Margin of Error","Aroostook County, Maine!!Percent Female!!Estimate","Aroostook County, Maine!!Percent Female!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Percent!!Estimate","Cumberland County, Maine!!Percent!!Margin of Error","Cumberland County, Maine!!Male!!Estimate","Cumberland County, Maine!!Male!!Margin of Error","Cumberland County, Maine!!Percent Male!!Estimate","Cumberland County, Maine!!Percent Male!!Margin of Error","Cumberland County, Maine!!Female!!Estimate","Cumberland County, Maine!!Female!!Margin of Error","Cumberland County, Maine!!Percent Female!!Estimate","Cumberland County, Maine!!Percent Female!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Percent!!Estimate","Kennebec County, Maine!!Percent!!Margin of Error","Kennebec County, Maine!!Male!!Estimate","Kennebec County, Maine!!Male!!Margin of Error","Kennebec County, Maine!!Percent Male!!Estimate","Kennebec County, Maine!!Percent Male!!Margin of Error","Kennebec County, Maine!!Female!!Estimate","Kennebec County, Maine!!Female!!Margin of Error","Kennebec County, Maine!!Percent Female!!Estimate","Kennebec County, Maine!!Percent Female!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Percent!!Estimate","Penobscot County, Maine!!Percent!!Margin of Error","Penobscot County, Maine!!Male!!Estimate","Penobscot County, Maine!!Male!!Margin of Error","Penobscot County, Maine!!Percent Male!!Estimate","Penobscot County, Maine!!Percent Male!!Margin of Error","Penobscot County, Maine!!Female!!Estimate","Penobscot County, Maine!!Female!!Margin of Error","Penobscot County, Maine!!Percent Female!!Estimate","Penobscot County, Maine!!Percent Female!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Percent!!Estimate","York County, Maine!!Percent!!Margin of Error","York County, Maine!!Male!!Estimate","York County, Maine!!Male!!Margin of Error","York County, Maine!!Percent Male!!Estimate","York County, Maine!!Percent Male!!Margin of Error","York County, Maine!!Female!!Estimate","York County, Maine!!Female!!Margin of Error","York County, Maine!!Percent Female!!Estimate","York County, Maine!!Percent Female!!Margin of Error"
"        40 to 44 years","5,967","±1,230","5.4%","±1.1","3,039","±713","5.6%","±1.3","2,928","±792","5.2%","±1.4","3,161","±659","4.7%","±1.0","1,478","±395","4.4%","±1.2","1,683","±419","5.0%","±1.2","17,760","±2,246","5.8%","±0.7","8,480","±1,372","5.7%","±0.9","9,280","±1,444","5.9%","±0.9","8,411","±1,373","6.8%","±1.1","3,739","±809","6.2%","±1.4","4,672","±894","7.3%","±1.4","8,376","±1,017","5.5%","±0.7","4,250","±652","5.6%","±0.9","4,126","±795","5.3%","±1.0","11,795","±1,553","5.5%","±0.7","6,320","±928","6.0%","±0.9","5,475","±1,153","5.0%","±1.1"
"        45 to 49 years","6,537","±379","5.9%","±0.3","3,100","±216","5.7%","±0.4","3,437","±324","6.1%","±0.6","4,074","±320","6.1%","±0.5","1,960","±276","5.9%","±0.8","2,114","±188","6.3%","±0.5","17,608","±577","5.8%","±0.2","8,614","±486","5.8%","±0.3","8,994","±454","5.7%","±0.3","6,922","±171","5.6%","±0.1","3,400","±150","5.7%","±0.2","3,522","±80","5.5%","±0.1","8,808","±283","5.8%","±0.2","4,211","±140","5.6%","±0.2","4,597","±207","6.0%","±0.3","12,577","±642","5.9%","±0.3","6,072","±384","5.7%","±0.4","6,505","±502","6.0%","±0.5"
"        50 to 54 years","7,150","±140","6.4%","±0.1","3,553","±99","6.5%","±0.2","3,597","±104","6.4%","±0.2","4,468","±109","6.7%","±0.2","2,319","±95","6.9%","±0.3","2,149","±40","6.4%","±0.1","20,653","±711","6.8%","±0.2","10,542","±616","7.1%","±0.4","10,111","±296","6.5%","±0.2","8,402","±202","6.7%","±0.2","4,232","±176","7.0%","±0.3","4,170","±92","6.5%","±0.2","10,072","±352","6.6%","±0.2","5,199","±339","6.9%","±0.4","4,873","±75","6.3%","±0.1","14,287","±408","6.7%","±0.2","7,223","±367","6.8%","±0.3","7,064","±162","6.5%","±0.2"
"        55 to 59 years","9,298","±969","8.4%","±0.9","4,394","±666","8.1%","±1.2","4,904","±667","8.7%","±1.2","4,838","±642","7.2%","±1.0","2,806","±434","8.4%","±1.3","2,032","±462","6.1%","±1.4","21,360","±1,862","7.0%","±0.6","9,316","±1,320","6.3%","±0.9","12,044","±1,218","7.7%","±0.8","9,916","±1,290","8.0%","±1.0","4,966","±964","8.3%","±1.6","4,950","±820","7.7%","±1.2","12,296","±1,118","8.0%","±0.7","6,504","±792","8.6%","±1.1","5,792","±697","7.5%","±0.9","17,705","±1,727","8.3%","±0.8","9,490","±1,189","9.0%","±1.1","8,215","±1,194","7.5%","±1.1"
"        60 to 64 years","6,772","±969","6.1%","±0.9","3,478","±658","6.4%","±1.2","3,294","±679","5.8%","±1.2","5,983","±665","8.9%","±1.0","2,623","±441","7.8%","±1.3","3,360","±490","10.1%","±1.5","22,582","±1,975","7.4%","±0.6","11,783","±1,285","7.9%","±0.9","10,799","±1,331","6.9%","±0.8","9,594","±1,338","7.7%","±1.1","4,572","±864","7.6%","±1.4","5,022","±819","7.8%","±1.3","11,226","±1,116","7.3%","±0.7","5,148","±761","6.8%","±1.0","6,078","±759","7.9%","±1.0","17,074","±1,625","8.0%","±0.8","7,298","±1,181","6.9%","±1.1","9,776","±1,228","9.0%","±1.1"
"        65 to 69 years","5,654","±854","5.1%","±0.8","2,882","±513","5.3%","±1.0","2,772","±640","4.9%","±1.1","5,642","±500","8.4%","±0.7","2,915","±371","8.7%","±1.1","2,727","±337","8.2%","±1.0","20,232","±1,418","6.6%","±0.5","9,834","±951","6.6%","±0.6","10,398","±1,087","6.6%","±0.7","8,727","±1,017","7.0%","±0.8","4,125","±771","6.9%","±1.3","4,602","±566","7.1%","±0.9","10,677","±858","7.0%","±0.6","5,035","±633","6.7%","±0.8","5,642","±687","7.3%","±0.9","13,844","±1,379","6.5%","±0.6","7,169","±852","6.8%","±0.8","6,675","±985","6.1%","±0.9"
"        70 to 74 years","6,829","±917","6.2%","±0.8","2,935","±519","5.4%","±0.9","3,894","±716","6.9%","±1.3","4,193","±522","6.3%","±0.8","1,938","±375","5.8%","±1.1","2,255","±350","6.7%","±1.1","16,336","±1,507","5.4%","±0.5","7,666","±1,049","5.2%","±0.7","8,670","±1,096","5.5%","±0.7","7,192","±1,008","5.8%","±0.8","3,493","±757","5.8%","±1.3","3,699","±586","5.7%","±0.9","7,831","±866","5.1%","±0.6","3,806","±655","5.0%","±0.9","4,025","±651","5.2%","±0.8","15,037","±1,372","7.0%","±0.6","6,319","±883","6.0%","±0.8","8,718","±1,009","8.0%","±0.9"
"        75 to 79 years","4,014","±703","3.6%","±0.6","1,761","±420","3.2%","±0.8","2,253","±469","4.0%","±0.8","3,069","±545","4.6%","±0.8","1,513","±254","4.5%","±0.8","1,556","±409","4.7%","±1.2","11,244","±1,160","3.7%","±0.4","5,354","±698","3.6%","±0.5","5,890","±791","3.8%","±0.5","3,633","±765","2.9%","±0.6","1,728","±519","2.9%","±0.9","1,905","±501","3.0%","±0.8","5,358","±804","3.5%","±0.5","2,605","±444","3.5%","±0.6","2,753","±623","3.6%","±0.8","7,882","±1,198","3.7%","±0.6","3,333","±748","3.2%","±0.7","4,549","±844","4.2%","±0.8"
"        80 to 84 years","1,773","±576","1.6%","±0.5","709","±362","1.3%","±0.7","1,064","±363","1.9%","±0.6","1,992","±451","3.0%","±0.7","882","±264","2.6%","±0.8","1,110","±314","3.3%","±0.9","6,318","±977","2.1%","±0.3","2,922","±624","2.0%","±0.4","3,396","±659","2.2%","±0.4","3,431","±659","2.8%","±0.5","974","±396","1.6%","±0.7","2,457","±533","3.8%","±0.8","2,785","±643","1.8%","±0.4","1,075","±411","1.4%","±0.5","1,710","±494","2.2%","±0.6","4,959","±934","2.3%","±0.4","2,442","±619","2.3%","±0.6","2,517","±662","2.3%","±0.6"
"        85 years and over","2,226","±749","2.0%","±0.7","847","±410","1.6%","±0.7","1,379","±432","2.4%","±0.8","1,735","±397","2.6%","±0.6","521","±181","1.6%","±0.5","1,214","±312","3.6%","±0.9","5,440","±1,117","1.8%","±0.4","1,233","±463","0.8%","±0.3","4,207","±934","2.7%","±0.6","2,634","±600","2.1%","±0.5","1,425","±478","2.4%","±0.8","1,209","±399","1.9%","±0.6","2,953","±809","1.9%","±0.5","1,064","±420","1.4%","±0.6","1,889","±645","2.4%","±0.8","4,544","±978","2.1%","±0.5","1,658","±533","1.6%","±0.5","2,886","±652","2.7%","±0.6"
