"Label (Grouping)","Androscoggin County, Maine!!Total!!Estimate","Androscoggin County, Maine!!Total!!Margin of Error","Androscoggin County, Maine!!Percent!!Estimate","Androscoggin County, Maine!!Percent!!Margin of Error","Androscoggin County, Maine!!Male!!Estimate","Androscoggin County, Maine!!Male!!Margin of Error","Androscoggin County, Maine!!Percent Male!!Estimate","Androscoggin County, Maine!!Percent Male!!Margin of Error","Androscoggin County, Maine!!Female!!Estimate","Androscoggin County, Maine!!Female!!Margin of Error","Androscoggin County, Maine!!Percent Female!!Estimate","Androscoggin County, Maine!!Percent Female!!Margin of Error","Aroostook County, Maine!!Total!!Estimate","Aroostook County, Maine!!Total!!Margin of Error","Aroostook County, Maine!!Percent!!Estimate","Aroostook County, Maine!!Percent!!Margin of Error","Aroostook County, Maine!!Male!!Estimate","Aroostook County, Maine!!Male!!Margin of Error","Aroostook County, Maine!!Percent Male!!Estimate","Aroostook County, Maine!!Percent Male!!Margin of Error","Aroostook County, Maine!!Female!!Estimate","Aroostook County, Maine!!Female!!Margin of Error","Aroostook County, Maine!!Percent Female!!Estimate","Aroostook County, Maine!!Percent Female!!Margin of Error","Cumberland County, Maine!!Total!!Estimate","Cumberland County, Maine!!Total!!Margin of Error","Cumberland County, Maine!!Percent!!Estimate","Cumberland County, Maine!!Percent!!Margin of Error","Cumberland County, Maine!!Male!!Estimate","Cumberland County, Maine!!Male!!Margin of Error","Cumberland County, Maine!!Percent Male!!Estimate","Cumberland County, Maine!!Percent Male!!Margin of Error","Cumberland County, Maine!!Female!!Estimate","Cumberland County, Maine!!Female!!Margin of Error","Cumberland County, Maine!!Percent Female!!Estimate","Cumberland County, Maine!!Percent Female!!Margin of Error","Kennebec County, Maine!!Total!!Estimate","Kennebec County, Maine!!Total!!Margin of Error","Kennebec County, Maine!!Percent!!Estimate","Kennebec County, Maine!!Percent!!Margin of Error","Kennebec County, Maine!!Male!!Estimate","Kennebec County, Maine!!Male!!Margin of Error","Kennebec County, Maine!!Percent Male!!Estimate","Kennebec County, Maine!!Percent Male!!Margin of Error","Kennebec County, Maine!!Female!!Estimate","Kennebec County, Maine!!Female!!Margin of Error","Kennebec County, Maine!!Percent Female!!Estimate","Kennebec County, Maine!!Percent Female!!Margin of Error","Penobscot County, Maine!!Total!!Estimate","Penobscot County, Maine!!Total!!Margin of Error","Penobscot County, Maine!!Percent!!Estimate","Penobscot County, Maine!!Percent!!Margin of Error","Penobscot County, Maine!!Male!!Estimate","Penobscot County, Maine!!Male!!Margin of Error","Penobscot County, Maine!!Percent Male!!Estimate","Penobscot County, Maine!!Percent Male!!Margin of Error","Penobscot County, Maine!!Female!!Estimate","Penobscot County, Maine!!Female!!Margin of Error","Penobscot County, Maine!!Percent Female!!Estimate","Penobscot County, Maine!!Percent Female!!Margin of Error","York County, Maine!!Total!!Estimate","York County, Maine!!Total!!Margin of Error","York County, Maine!!Percent!!Estimate","York County, Maine!!Percent!!Margin of Error","York County, Maine!!Male!!Estimate","York County, Maine!!Male!!Margin of Error","York County, Maine!!Percent Male!!Estimate","York County, Maine!!Percent Male!!Margin of Error","York County, Maine!!Female!!Estimate","York County, Maine!!Female!!Margin of Error","York County, Maine!!Percent Female!!Estimate","York County, Maine!!Percent Female!!Margin of Error"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        5 to 14 years","12,657","±483","11.4%","±0.4","6,532","±385","12.0%","±0.6","6,125","±437","10.8%","±0.7","6,771","±243","10.1%","±0.4","3,458","±183","10.3%","±0.6","3,313","±95","9.9%","±0.3","31,432","±522","10.3%","±0.2","15,623","±565","10.5%","±0.3","15,809","±817","10.1%","±0.5","12,988","±236","10.4%","±0.2","6,686","±182","11.1%","±0.3","6,302","±189","9.8%","±0.2","15,108","±295","9.9%","±0.2","7,679","±201","10.2%","±0.2","7,429","±332","9.6%","±0.4","22,115","±477","10.3%","±0.2","11,580","±396","11.0%","±0.4","10,535","±455","9.7%","±0.4"
"        15 to 17 years","4,692","±488","4.2%","±0.4","2,554","±365","4.7%","±0.6","2,138","±403","3.8%","±0.7","2,303","±122","3.4%","±0.2","1,253","±81","3.7%","±0.2","1,050","±88","3.1%","±0.3","9,698","±506","3.2%","±0.2","4,844","±285","3.3%","±0.2","4,854","±442","3.1%","±0.3","4,176","±113","3.4%","±0.1","2,064","±67","3.4%","±0.1","2,112","±102","3.3%","±0.2","5,649","±333","3.7%","±0.2","2,916","±200","3.9%","±0.3","2,733","±300","3.5%","±0.4","7,286","±408","3.4%","±0.2","3,909","±410","3.7%","±0.4","3,377","±206","3.1%","±0.2"
"        Under 18 years","23,310","±204","21.0%","±0.2","12,191","±486","22.4%","±0.7","11,119","±460","19.7%","±0.7","12,239","±199","18.3%","±0.3","6,265","±215","18.7%","±0.6","5,974","±169","17.9%","±0.5","55,364","±262","18.1%","±0.1","27,540","±780","18.5%","±0.4","27,824","±770","17.8%","±0.4","22,946","±376","18.4%","±0.3","11,504","±222","19.1%","±0.4","11,442","±359","17.8%","±0.5","27,168","*****","17.8%","*****","13,807","±287","18.3%","±0.3","13,361","±288","17.3%","±0.3","38,769","±97","18.1%","±0.1","20,418","±577","19.3%","±0.5","18,351","±585","16.9%","±0.5"
"        18 to 24 years","9,807","±557","8.8%","±0.5","4,743","±259","8.7%","±0.5","5,064","±384","9.0%","±0.7","4,880","±344","7.3%","±0.5","2,618","±297","7.8%","±0.9","2,262","±160","6.8%","±0.5","25,013","±943","8.2%","±0.3","12,099","±635","8.1%","±0.4","12,914","±775","8.2%","±0.5","10,987","±570","8.8%","±0.5","5,060","±322","8.4%","±0.5","5,927","±470","9.2%","±0.7","16,133","±498","10.6%","±0.3","8,383","±331","11.1%","±0.4","7,750","±381","10.0%","±0.5","15,206","±557","7.1%","±0.3","7,972","±435","7.5%","±0.4","7,234","±361","6.6%","±0.3"
"        15 to 44 years","42,163","±645","38.0%","±0.6","21,248","±527","39.0%","±0.7","20,915","±543","37.0%","±0.8","20,929","±360","31.3%","±0.5","10,957","±306","32.8%","±0.9","9,972","±194","29.8%","±0.6","117,792","±1,127","38.6%","±0.4","58,535","±900","39.4%","±0.6","59,257","±639","37.8%","±0.5","45,265","±637","36.4%","±0.5","21,755","±444","36.2%","±0.6","23,510","±792","36.5%","±0.9","59,240","±585","38.8%","±0.4","29,969","±435","39.7%","±0.5","29,271","±572","37.9%","±0.6","75,199","±927","35.0%","±0.4","38,187","±835","36.1%","±0.7","37,012","±927","34.0%","±0.7"
"        16 years and over","91,270","±657","82.2%","±0.6","44,226","±564","81.1%","±1.0","47,044","±797","83.3%","±0.9","56,521","±342","84.5%","±0.5","28,182","±368","84.3%","±0.9","28,339","±217","84.8%","±0.6","256,719","±755","84.1%","±0.2","124,535","±779","83.9%","±0.5","132,184","±755","84.3%","±0.5","103,920","±612","83.5%","±0.5","49,713","±839","82.7%","±0.7","54,207","±854","84.2%","±0.7","129,888","±580","85.0%","±0.4","64,010","±473","84.8%","±0.5","65,878","±676","85.3%","±0.6","180,618","±741","84.2%","±0.3","87,838","±830","83.1%","±0.7","92,780","±922","85.2%","±0.6"
"        18 years and over","87,724","±204","79.0%","±0.2","42,353","±479","77.6%","±0.7","45,371","±548","80.3%","±0.7","54,620","±199","81.7%","±0.3","27,181","±296","81.3%","±0.6","27,439","±216","82.1%","±0.5","249,867","±262","81.9%","±0.1","120,955","±603","81.5%","±0.4","128,912","±554","82.2%","±0.4","101,540","±376","81.6%","±0.3","48,606","±718","80.9%","±0.4","52,934","±711","82.2%","±0.5","125,597","*****","82.2%","*****","61,700","±443","81.7%","±0.3","63,897","±443","82.7%","±0.3","175,822","±97","81.9%","±0.1","85,282","±694","80.7%","±0.5","90,540","±701","83.1%","±0.5"
"        21 years and over","83,014","±841","74.8%","±0.8","39,793","±695","73.0%","±1.3","43,221","±884","76.5%","±1.5","52,600","±611","78.7%","±0.9","26,054","±589","77.9%","±1.8","26,546","±195","79.4%","±0.6","238,034","±1,223","78.0%","±0.4","114,769","±1,366","77.3%","±0.9","123,265","±1,229","78.6%","±0.8","97,270","±723","78.1%","±0.6","46,724","±768","77.7%","±0.7","50,546","±832","78.5%","±1.1","116,774","±1,010","76.4%","±0.7","56,954","±732","75.4%","±0.8","59,820","±701","77.4%","±0.9","168,216","±1,130","78.4%","±0.5","81,618","±938","77.2%","±0.7","86,598","±1,033","79.5%","±0.9"
"        60 years and over","27,268","±1,019","24.6%","±0.9","12,612","±673","23.1%","±1.2","14,656","±786","25.9%","±1.4","22,614","±666","33.8%","±1.0","10,392","±440","31.1%","±1.3","12,222","±503","36.6%","±1.5","82,152","±1,862","26.9%","±0.6","38,792","±1,292","26.1%","±0.9","43,360","±1,305","27.7%","±0.8","35,211","±1,334","28.3%","±1.1","16,317","±849","27.1%","±1.4","18,894","±842","29.3%","±1.5","40,830","±1,156","26.7%","±0.8","18,733","±776","24.8%","±1.0","22,097","±762","28.6%","±1.0","63,340","±1,699","29.5%","±0.8","28,219","±1,186","26.7%","±1.2","35,121","±1,264","32.3%","±1.2"
"        62 years and over","24,158","±877","21.8%","±0.8","10,821","±638","19.8%","±1.1","13,337","±654","23.6%","±1.1","20,238","±723","30.3%","±1.1","9,413","±393","28.1%","±1.2","10,825","±537","32.4%","±1.6","72,710","±1,682","23.8%","±0.6","32,562","±1,126","21.9%","±0.7","40,148","±1,201","25.6%","±0.7","30,872","±1,167","24.8%","±0.9","14,401","±728","24.0%","±1.2","16,471","±823","25.6%","±1.4","35,201","±1,002","23.0%","±0.7","16,225","±669","21.5%","±0.9","18,976","±603","24.6%","±0.8","55,976","±1,576","26.1%","±0.7","25,014","±968","23.7%","±1.0","30,962","±1,161","28.4%","±1.1"
"        65 years and over","20,496","±399","18.5%","±0.4","9,134","±133","16.7%","±0.3","11,362","±412","20.1%","±0.7","16,631","±154","24.9%","±0.2","7,769","±75","23.2%","±0.3","8,862","±114","26.5%","±0.4","59,570","±751","19.5%","±0.2","27,009","±618","18.2%","±0.4","32,561","±398","20.8%","±0.3","25,617","±255","20.6%","±0.2","11,745","±151","19.5%","±0.3","13,872","±195","21.5%","±0.4","29,604","±361","19.4%","±0.2","13,585","±166","18.0%","±0.2","16,019","±268","20.7%","±0.4","46,266","±405","21.6%","±0.2","20,921","±245","19.8%","±0.3","25,345","±341","23.3%","±0.3"
"        75 years and over","8,013","±278","7.2%","±0.3","3,317","±138","6.1%","±0.2","4,696","±258","8.3%","±0.4","6,796","±68","10.2%","±0.1","2,916","±59","8.7%","±0.2","3,880","±22","11.6%","±0.1","23,002","±358","7.5%","±0.1","9,509","±240","6.4%","±0.2","13,493","±260","8.6%","±0.2","9,698","±151","7.8%","±0.1","4,127","±87","6.9%","±0.1","5,571","±126","8.7%","±0.2","11,096","±177","7.3%","±0.1","4,744","±50","6.3%","±0.1","6,352","±156","8.2%","±0.2","17,385","±158","8.1%","±0.1","7,433","±105","7.0%","±0.1","9,952","±68","9.1%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Median age (years)","40.8","±1.3","(X)","(X)","39.3","±0.9","(X)","(X)","42.0","±0.9","(X)","(X)","48.2","±0.4","(X)","(X)","45.9","±1.2","(X)","(X)","49.2","±0.6","(X)","(X)","41.8","±0.7","(X)","(X)","40.9","±1.0","(X)","(X)","43.1","±0.8","(X)","(X)","44.1","±0.5","(X)","(X)","43.8","±0.8","(X)","(X)","44.4","±0.6","(X)","(X)","42.2","±0.5","(X)","(X)","41.2","±0.8","(X)","(X)","43.3","±1.1","(X)","(X)","45.3","±0.4","(X)","(X)","43.4","±0.5","(X)","(X)","46.9","±0.8","(X)","(X)"
"        Sex ratio (males per 100 females)","96.6","±2.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","100.1","±1.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","94.7","±1.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","93.4","±2.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","97.7","±1.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","97.1","±1.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","65.2","±1.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","76.0","±1.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","60.4","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","64.0","±0.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","59.1","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","65.6","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","30.5","±0.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43.8","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.3","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.7","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.8","±0.5","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.7","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","34.7","±0.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","32.2","±0.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.1","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","30.2","±0.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.3","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","29.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.4%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.2%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","0.7%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.8%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","1.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
